_id,order_id,product_name,quantity,unit_price,total_price,order_date,customer_name,customer_email,shipping_address,payment_method
6951d854ab5b2d58d780fb15,1,Travel Makeup Organizer,92,420.31,38668.52,2020-01-28T00:00:00.000Z,Ikey Shingler,ishingler0@salon.com,16 Pearson Circle,Credit Card
6951d854ab5b2d58d780fb16,2,Corn Tortillas,80,28.95,2316,2020-01-30T00:00:00.000Z,Agnesse Sach,asach1@pagesperso-orange.fr,8412 Glendale Center,Credit Card
6951d854ab5b2d58d780fb17,3,Chickpeas,30,9.85,295.5,2020-07-01T00:00:00.000Z,Lawry Wintour,lwintour2@utexas.edu,1 Alpine Circle,Credit Card
6951d854ab5b2d58d780fb18,4,Spaghetti and Meatball Dinner Kit,28,720.37,20170.36,2020-01-21T00:00:00.000Z,Theo Manoch,tmanoch3@epa.gov,127 Doe Crossing Parkway,PayPal
6951d854ab5b2d58d780fb19,5,Heat-Resistant Silicone Mat,90,948.41,85356.9,2020-01-24T00:00:00.000Z,Perl Vinck,pvinck4@goodreads.com,8404 Forest Street,Credit Card
6951d854ab5b2d58d780fb1a,6,Cinnamon Sugar Popcorn,92,810.15,74533.8,2020-01-17T00:00:00.000Z,Pearla Godwyn,pgodwyn5@opera.com,67 Onsgard Place,Cash on Delivery
6951d854ab5b2d58d780fb1b,7,Whole Chicken,74,323.03,23904.22,2020-01-25T00:00:00.000Z,Eustace Malsher,emalsher6@wunderground.com,2118 Ruskin Avenue,PayPal
6951d854ab5b2d58d780fb1c,8,Colorful Post-It Notes Set,47,198.94,9350.18,2020-02-01T00:00:00.000Z,Etty Gauthorpp,egauthorpp7@eepurl.com,2885 Sundown Lane,PayPal
6951d854ab5b2d58d780fb1d,9,Smart Home Hub,59,544.54,32127.86,2020-01-21T00:00:00.000Z,Kissie Mahon,kmahon8@symantec.com,8922 Pearson Lane,Credit Card
6951d854ab5b2d58d780fb1e,10,Almond Flour Cookies,80,285.49,22839.2,2020-11-01T00:00:00.000Z,Dacy Galiero,dgaliero9@unblog.fr,82 Myrtle Trail,Credit Card
6951d854ab5b2d58d780fb1f,11,Paint By Numbers Kit,81,266.54,21589.74,2020-07-01T00:00:00.000Z,Ciro Wrench,cwrencha@so-net.ne.jp,64164 Sunnyside Point,Cash on Delivery
6951d854ab5b2d58d780fb20,12,Organic Almonds,50,419.87,20993.5,2020-06-01T00:00:00.000Z,Katrine Dominique,kdominiqueb@amazon.co.uk,0 Bultman Junction,Credit Card
6951d854ab5b2d58d780fb21,13,Insulated Sport Tumbler,24,348.85,8372.4,2020-01-14T00:00:00.000Z,Grethel Bruinsma,gbruinsmac@feedburner.com,324 Butterfield Road,PayPal
6951d854ab5b2d58d780fb22,14,Creamy Coleslaw Mix,27,807.29,21796.83,2020-05-01T00:00:00.000Z,Eli Kanwell,ekanwelld@examiner.com,41082 Vermont Avenue,Credit Card
6951d854ab5b2d58d780fb23,15,Portable Electric Fan,31,91.46,2835.26,2020-01-15T00:00:00.000Z,Cleo Merton,cmertone@yale.edu,1187 Village Pass,PayPal
6951d854ab5b2d58d780fb24,16,Steak Seasoning Rub,35,272.89,9551.15,2020-09-01T00:00:00.000Z,Michaela Cumber,mcumberf@java.com,877 International Parkway,Cash on Delivery
